2021-04-30 18:08:49,103 - Eye - INFO - Train Dataset uploaded!
2021-04-30 18:08:49,103 - Eye - INFO - device:cuda
2021-04-30 18:10:01,150 - Eye - INFO - ['Epoch:00, Iter: 20, Lr:0.00010000', 'Loss:1.5375', 'train_acc:33.59']
2021-04-30 18:10:10,006 - Eye - INFO - ['Epoch:00, Iter: 40, Lr:0.00010000', 'Loss:1.2429', 'train_acc:43.36']
2021-04-30 18:10:19,169 - Eye - INFO - ['Epoch:00, Iter: 60, Lr:0.00010000', 'Loss:1.1521', 'train_acc:48.80']
2021-04-30 18:10:28,478 - Eye - INFO - ['Epoch:00, Iter: 80, Lr:0.00010000', 'Loss:1.0564', 'train_acc:52.07']
2021-04-30 18:10:37,922 - Eye - INFO - ['Epoch:00, Iter:100, Lr:0.00010000', 'Loss:0.9983', 'train_acc:54.27']
2021-04-30 18:10:47,041 - Eye - INFO - ['Epoch:00, Iter:120, Lr:0.00010000', 'Loss:0.9620', 'train_acc:56.54']
2021-04-30 18:10:56,002 - Eye - INFO - ['Epoch:00, Iter:140, Lr:0.00010000', 'Loss:0.9985', 'train_acc:58.37']
2021-04-30 18:11:05,138 - Eye - INFO - ['Epoch:00, Iter:160, Lr:0.00010000', 'Loss:0.8908', 'train_acc:60.01']
2021-04-30 18:11:14,153 - Eye - INFO - ['Epoch:00, Iter:180, Lr:0.00010000', 'Loss:0.8086', 'train_acc:61.55']
2021-04-30 18:11:23,169 - Eye - INFO - ['Epoch:00, Iter:200, Lr:0.00010000', 'Loss:0.8208', 'train_acc:62.77']
2021-04-30 18:11:32,195 - Eye - INFO - ['Epoch:00, Iter:220, Lr:0.00010000', 'Loss:0.5438', 'train_acc:64.15']
2021-04-30 18:11:41,339 - Eye - INFO - ['Epoch:00, Iter:240, Lr:0.00010000', 'Loss:0.6852', 'train_acc:65.41']
2021-04-30 18:11:50,893 - Eye - INFO - ['Epoch:00, Iter:260, Lr:0.00010000', 'Loss:0.4481', 'train_acc:66.65']
2021-04-30 18:12:00,693 - Eye - INFO - ['Epoch:00, Iter:280, Lr:0.00010000', 'Loss:0.4943', 'train_acc:68.10']
2021-04-30 18:12:05,119 - Eye - INFO - ['Epoch:00, Lr:0.00010000, Cost:138.06s', 'Loss:0.5761', 'train_acc:68.16', 'val_acc:74.22', 'val_loss:0.72']
2021-04-30 18:12:16,967 - Eye - INFO - ['Epoch:01, Iter: 20, Lr:0.00005000', 'Loss:0.4845', 'train_acc:85.94']
2021-04-30 18:12:26,543 - Eye - INFO - ['Epoch:01, Iter: 40, Lr:0.00005000', 'Loss:0.4981', 'train_acc:87.50']
2021-04-30 18:12:36,028 - Eye - INFO - ['Epoch:01, Iter: 60, Lr:0.00005000', 'Loss:0.3635', 'train_acc:88.41']
2021-04-30 18:12:45,502 - Eye - INFO - ['Epoch:01, Iter: 80, Lr:0.00005000', 'Loss:0.2905', 'train_acc:89.12']
2021-04-30 18:12:55,008 - Eye - INFO - ['Epoch:01, Iter:100, Lr:0.00005000', 'Loss:0.2696', 'train_acc:89.56']
2021-04-30 18:13:03,907 - Eye - INFO - ['Epoch:01, Iter:120, Lr:0.00005000', 'Loss:0.3362', 'train_acc:89.91']
2021-04-30 18:13:12,899 - Eye - INFO - ['Epoch:01, Iter:140, Lr:0.00005000', 'Loss:0.3476', 'train_acc:90.29']
2021-04-30 18:13:21,792 - Eye - INFO - ['Epoch:01, Iter:160, Lr:0.00005000', 'Loss:0.2939', 'train_acc:90.63']
2021-04-30 18:13:31,229 - Eye - INFO - ['Epoch:01, Iter:180, Lr:0.00005000', 'Loss:0.2766', 'train_acc:91.11']
2021-04-30 18:13:40,796 - Eye - INFO - ['Epoch:01, Iter:200, Lr:0.00005000', 'Loss:0.2247', 'train_acc:91.46']
2021-04-30 18:13:50,251 - Eye - INFO - ['Epoch:01, Iter:220, Lr:0.00005000', 'Loss:0.3767', 'train_acc:91.59']
2021-04-30 18:13:59,657 - Eye - INFO - ['Epoch:01, Iter:240, Lr:0.00005000', 'Loss:0.1868', 'train_acc:91.80']
2021-04-30 18:14:09,064 - Eye - INFO - ['Epoch:01, Iter:260, Lr:0.00005000', 'Loss:0.2275', 'train_acc:91.97']
2021-04-30 18:14:18,691 - Eye - INFO - ['Epoch:01, Iter:280, Lr:0.00005000', 'Loss:0.2473', 'train_acc:92.12']
2021-04-30 18:14:23,060 - Eye - INFO - ['Epoch:01, Lr:0.00005000, Cost:137.78s', 'Loss:0.2625', 'train_acc:92.13', 'val_acc:71.61', 'val_loss:0.59']
2021-04-30 18:14:36,280 - Eye - INFO - ['Epoch:02, Iter: 20, Lr:0.00002500', 'Loss:0.1985', 'train_acc:95.47']
2021-04-30 18:14:45,785 - Eye - INFO - ['Epoch:02, Iter: 40, Lr:0.00002500', 'Loss:0.1886', 'train_acc:96.37']
2021-04-30 18:14:55,384 - Eye - INFO - ['Epoch:02, Iter: 60, Lr:0.00002500', 'Loss:0.1306', 'train_acc:96.80']
2021-04-30 18:15:04,919 - Eye - INFO - ['Epoch:02, Iter: 80, Lr:0.00002500', 'Loss:0.1124', 'train_acc:97.09']
2021-04-30 18:15:14,262 - Eye - INFO - ['Epoch:02, Iter:100, Lr:0.00002500', 'Loss:0.1178', 'train_acc:97.14']
2021-04-30 18:15:23,818 - Eye - INFO - ['Epoch:02, Iter:120, Lr:0.00002500', 'Loss:0.1598', 'train_acc:97.32']
2021-04-30 18:15:33,368 - Eye - INFO - ['Epoch:02, Iter:140, Lr:0.00002500', 'Loss:0.1395', 'train_acc:97.33']
2021-04-30 18:15:42,835 - Eye - INFO - ['Epoch:02, Iter:160, Lr:0.00002500', 'Loss:0.1440', 'train_acc:97.36']
2021-04-30 18:15:52,015 - Eye - INFO - ['Epoch:02, Iter:180, Lr:0.00002500', 'Loss:0.1370', 'train_acc:97.36']
2021-04-30 18:16:01,397 - Eye - INFO - ['Epoch:02, Iter:200, Lr:0.00002500', 'Loss:0.1599', 'train_acc:97.51']
2021-04-30 18:16:10,664 - Eye - INFO - ['Epoch:02, Iter:220, Lr:0.00002500', 'Loss:0.1485', 'train_acc:97.55']
2021-04-30 18:16:19,651 - Eye - INFO - ['Epoch:02, Iter:240, Lr:0.00002500', 'Loss:0.1640', 'train_acc:97.53']
2021-04-30 18:16:28,653 - Eye - INFO - ['Epoch:02, Iter:260, Lr:0.00002500', 'Loss:0.1347', 'train_acc:97.53']
2021-04-30 18:16:37,332 - Eye - INFO - ['Epoch:02, Iter:280, Lr:0.00002500', 'Loss:0.1899', 'train_acc:97.61']
2021-04-30 18:16:41,615 - Eye - INFO - ['Epoch:02, Lr:0.00002500, Cost:138.49s', 'Loss:0.1558', 'train_acc:97.61', 'val_acc:81.25', 'val_loss:0.13']
2021-04-30 18:16:53,400 - Eye - INFO - ['Epoch:03, Iter: 20, Lr:0.00002500', 'Loss:0.2376', 'train_acc:97.89']
2021-04-30 18:17:02,965 - Eye - INFO - ['Epoch:03, Iter: 40, Lr:0.00002500', 'Loss:0.0958', 'train_acc:98.12']
2021-04-30 18:17:12,213 - Eye - INFO - ['Epoch:03, Iter: 60, Lr:0.00002500', 'Loss:0.1432', 'train_acc:98.39']
